requisito,metodos,rota,endpoint,servicos_diretos,testes_de_servico_indiretos,observacao
REL-01 Clientes e cashback,GET,/api/clientes/auxiliares,cliente.auxiliares,AcessoEmpresaService.obter_escopo|ClienteService.listar_auxiliares,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/configuracoes,cliente.listar_configuracoes,AcessoEmpresaService.obter_escopo|ClienteService.listar_configuracoes_empresa,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,PUT,/api/clientes/configuracoes/<int:empresa_id>,cliente.atualizar_configuracao,AcessoEmpresaService.obter_escopo|ClienteService.atualizar_configuracao_empresa,tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_dispara_ao_atingir_minimo|tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_respeita_cooldown_e_reenvia_em_novo_status|tests/test_fluxo_pdv_financeiro.py::test_cancelamento_parcial_de_item_reverte_estoque_e_ajusta_cashback|tests/test_fluxo_pdv_financeiro.py::test_cashback_respeita_limite_percentual_de_resgate_por_venda|tests/test_fluxo_pdv_financeiro.py::test_configuracao_cliente_preserva_senha_existente_quando_campo_nao_e_enviado|tests/test_fluxo_pdv_financeiro.py::test_disparo_coletivo_envia_apenas_para_clientes_elegiveis|tests/test_fluxo_pdv_financeiro.py::test_template_html_do_email_de_venda_usa_identidade_oceanblue|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_envia_email_automatico_e_registra_cashback|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_gera_cashback_e_historico|tests/test_fluxo_pdv_financeiro.py::test_venda_permanece_finalizada_quando_email_automatico_falha|tests/test_fluxo_pdv_financeiro.py::test_venda_pode_desativar_cashback_sem_afetar_carteira_existente|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/configuracoes/<int:empresa_id>,cliente.obter_configuracao,AcessoEmpresaService.obter_escopo|ClienteService.obter_configuracao_empresa,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,POST,/api/clientes/configuracoes/<int:empresa_id>/testar,cliente.testar_configuracao,AcessoEmpresaService.obter_escopo|ClienteService.testar_configuracao_empresa,tests/test_fluxo_pdv_financeiro.py::test_teste_configuracao_empresa_usa_payload_informado_sem_persistir|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,POST,/api/clientes/mensagens/disparo-coletivo,cliente.enviar_mensagem_coletiva,AcessoEmpresaService.obter_escopo|ClienteService.enviar_mensagem_coletiva,tests/test_fluxo_pdv_financeiro.py::test_disparo_coletivo_envia_apenas_para_clientes_elegiveis|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/view,cliente.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-04 Cupons,POST,/api/cupons/,cupom.criar,CupomService.criar|CupomService.serializar,tests/test_sprint04_operations.py::test_coupon_rounding_cap_customer_and_historical_usage,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-04 Cupons,GET,/api/cupons/,cupom.listar,CupomService.listar,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-04 Cupons,PUT,/api/cupons/<int:cupom_id>,cupom.atualizar,CupomService.atualizar|CupomService.serializar,tests/test_sprint04_operations.py::test_coupon_rounding_cap_customer_and_historical_usage,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-04 Cupons,DELETE,/api/cupons/<int:cupom_id>,cupom.deletar,CupomService.deletar,tests/test_sprint04_operations.py::test_coupon_rounding_cap_customer_and_historical_usage,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-04 Cupons,GET,/api/cupons/view,cupom.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/,estoque.listar_saldos,AcessoEmpresaService.obter_escopo|EstoqueService.listar_saldos,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/alertas/view,estoque.pagina_alertas,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/auxiliares,estoque.auxiliares,AcessoEmpresaService.obter_escopo|EstoqueService.listar_auxiliares,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/indicadores/produtos-mais-vendidos,estoque.listar_produtos_mais_vendidos,AcessoEmpresaService.obter_escopo|EstoqueService.listar_produtos_mais_vendidos,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/indicadores/view,estoque.pagina_indicadores,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/movimentos,estoque.listar_movimentos,AcessoEmpresaService.obter_escopo|EstoqueService.listar_movimentos,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/movimentos/<int:movimento_id>/cancelar,estoque.cancelar_movimento,AcessoEmpresaService.obter_escopo|EstoqueService.cancelar_movimento,tests/test_fluxo_pdv_financeiro.py::test_cancelamento_de_movimento_manual_reverte_saldo|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests/test_sprint03_transactions.py::test_manual_cancellation_concurrent_replay,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/movimentos/manual,estoque.criar_movimento_manual,AcessoEmpresaService.obter_escopo|EstoqueService.registrar_movimentacao_manual,tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_dispara_ao_atingir_minimo|tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_respeita_cooldown_e_reenvia_em_novo_status|tests/test_fluxo_pdv_financeiro.py::test_cancelamento_de_movimento_manual_reverte_saldo|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests/test_sprint03_transactions.py::test_concurrent_stock_exhaustion_has_one_winner|tests/test_sprint03_transactions.py::test_manual_cancellation_concurrent_replay,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes,estoque.listar_notificacoes,AcessoEmpresaService.obter_escopo|EstoqueService.listar_notificacoes,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests/test_sprint04_operations.py::test_expiry_alert_boundaries_use_brazil_calendar,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/notificacoes/<int:entrega_id>/retentar,estoque.retentar_alerta,AcessoEmpresaService.obter_escopo|AlertaService.retentar,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests/test_sprint04_operations.py::test_alert_partial_recipient_failure_only_retries_failed_delivery|tests/test_sprint04_operations.py::test_alert_transport_timeout_is_uncertain_and_not_resent|tests/test_sprint04_operations.py::test_simultaneous_retries_send_each_delivery_once,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,PUT,/api/estoque/notificacoes/configuracao,estoque.atualizar_configuracao_alerta,AcessoEmpresaService.obter_escopo|EstoqueService.atualizar_configuracao_alerta,tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_dispara_ao_atingir_minimo|tests/test_fluxo_pdv_financeiro.py::test_alerta_email_estoque_respeita_cooldown_e_reenvia_em_novo_status|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/configuracao,estoque.obter_configuracao_alerta,AcessoEmpresaService.obter_escopo|EstoqueService.obter_configuracao_alerta,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/historico,estoque.historico_alertas,AcessoEmpresaService.obter_escopo|AlertaService.historico,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
